/home/pbqv20/anaconda3/envs/arcface/lib/python3.9/site-packages/torch/utils/_contextlib.py:125: UserWarning: Decorating classes is deprecated and will be disabled in future versions. You should only decorate functions or methods. To preserve the current behavior of class decoration, you can directly decorate the `__init__` method and nothing else.
Training: 2024-03-21 13:14:51,578-Speed 129.77 samples/sec   Loss 25.0789   LearningRate 0.014102   Epoch: 5   Global Step: 59900   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:15:01,410-Speed 130.21 samples/sec   Loss 25.3603   LearningRate 0.014101   Epoch: 5   Global Step: 59910   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:15:11,172-Speed 131.14 samples/sec   Loss 24.7306   LearningRate 0.014100   Epoch: 5   Global Step: 59920   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:15:20,850-Speed 132.27 samples/sec   Loss 25.7426   LearningRate 0.014099   Epoch: 5   Global Step: 59930   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:15:30,658-Speed 130.51 samples/sec   Loss 25.1154   LearningRate 0.014098   Epoch: 5   Global Step: 59940   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:15:40,683-Speed 127.69 samples/sec   Loss 25.4668   LearningRate 0.014097   Epoch: 5   Global Step: 59950   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:15:50,706-Speed 127.71 samples/sec   Loss 24.9465   LearningRate 0.014096   Epoch: 5   Global Step: 59960   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:16:00,593-Speed 129.47 samples/sec   Loss 24.7578   LearningRate 0.014095   Epoch: 5   Global Step: 59970   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:16:10,932-Speed 123.81 samples/sec   Loss 25.2315   LearningRate 0.014094   Epoch: 5   Global Step: 59980   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:16:21,052-Speed 126.49 samples/sec   Loss 25.4007   LearningRate 0.014093   Epoch: 5   Global Step: 59990   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:16:30,852-Speed 130.62 samples/sec   Loss 25.3548   LearningRate 0.014092   Epoch: 5   Global Step: 60000   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:16:40,734-Speed 129.55 samples/sec   Loss 24.8381   LearningRate 0.014091   Epoch: 5   Global Step: 60010   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:16:50,390-Speed 133.71 samples/sec   Loss 25.1100   LearningRate 0.014090   Epoch: 5   Global Step: 60020   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:17:00,230-Speed 130.10 samples/sec   Loss 24.0461   LearningRate 0.014089   Epoch: 5   Global Step: 60030   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:17:10,109-Speed 129.57 samples/sec   Loss 25.1001   LearningRate 0.014088   Epoch: 5   Global Step: 60040   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:17:19,861-Speed 131.26 samples/sec   Loss 25.0430   LearningRate 0.014087   Epoch: 5   Global Step: 60050   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:17:30,366-Speed 121.86 samples/sec   Loss 24.8655   LearningRate 0.014086   Epoch: 5   Global Step: 60060   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:17:40,736-Speed 123.44 samples/sec   Loss 25.0790   LearningRate 0.014085   Epoch: 5   Global Step: 60070   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:17:51,126-Speed 123.20 samples/sec   Loss 25.3822   LearningRate 0.014084   Epoch: 5   Global Step: 60080   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:18:00,994-Speed 129.72 samples/sec   Loss 24.8901   LearningRate 0.014083   Epoch: 5   Global Step: 60090   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:18:11,236-Speed 124.98 samples/sec   Loss 25.0919   LearningRate 0.014082   Epoch: 5   Global Step: 60100   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:18:21,367-Speed 126.35 samples/sec   Loss 24.9493   LearningRate 0.014081   Epoch: 5   Global Step: 60110   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:18:31,489-Speed 126.46 samples/sec   Loss 25.4558   LearningRate 0.014080   Epoch: 5   Global Step: 60120   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:18:41,792-Speed 124.25 samples/sec   Loss 24.5603   LearningRate 0.014079   Epoch: 5   Global Step: 60130   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:18:51,873-Speed 126.98 samples/sec   Loss 25.0908   LearningRate 0.014078   Epoch: 5   Global Step: 60140   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:19:01,782-Speed 129.19 samples/sec   Loss 25.0166   LearningRate 0.014077   Epoch: 5   Global Step: 60150   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:19:11,873-Speed 126.86 samples/sec   Loss 24.8474   LearningRate 0.014076   Epoch: 5   Global Step: 60160   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:19:21,828-Speed 128.59 samples/sec   Loss 25.3185   LearningRate 0.014075   Epoch: 5   Global Step: 60170   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:19:31,682-Speed 129.90 samples/sec   Loss 24.6863   LearningRate 0.014074   Epoch: 5   Global Step: 60180   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:19:41,551-Speed 129.72 samples/sec   Loss 24.7567   LearningRate 0.014073   Epoch: 5   Global Step: 60190   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:19:51,766-Speed 125.32 samples/sec   Loss 25.0179   LearningRate 0.014072   Epoch: 5   Global Step: 60200   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:20:01,968-Speed 125.48 samples/sec   Loss 25.1007   LearningRate 0.014071   Epoch: 5   Global Step: 60210   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:20:11,824-Speed 129.87 samples/sec   Loss 25.1339   LearningRate 0.014071   Epoch: 5   Global Step: 60220   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:20:22,609-Speed 118.71 samples/sec   Loss 25.2324   LearningRate 0.014070   Epoch: 5   Global Step: 60230   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:20:32,702-Speed 126.83 samples/sec   Loss 25.4934   LearningRate 0.014069   Epoch: 5   Global Step: 60240   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:20:43,301-Speed 120.78 samples/sec   Loss 24.7691   LearningRate 0.014068   Epoch: 5   Global Step: 60250   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:20:53,295-Speed 128.08 samples/sec   Loss 25.0674   LearningRate 0.014067   Epoch: 5   Global Step: 60260   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:21:03,489-Speed 125.58 samples/sec   Loss 25.4043   LearningRate 0.014066   Epoch: 5   Global Step: 60270   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:21:13,806-Speed 124.07 samples/sec   Loss 25.2692   LearningRate 0.014065   Epoch: 5   Global Step: 60280   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:21:23,340-Speed 134.27 samples/sec   Loss 25.0764   LearningRate 0.014064   Epoch: 5   Global Step: 60290   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:21:33,161-Speed 130.34 samples/sec   Loss 25.3244   LearningRate 0.014063   Epoch: 5   Global Step: 60300   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:21:43,200-Speed 127.51 samples/sec   Loss 25.3341   LearningRate 0.014062   Epoch: 5   Global Step: 60310   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:21:53,247-Speed 127.41 samples/sec   Loss 25.1023   LearningRate 0.014061   Epoch: 5   Global Step: 60320   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:22:03,215-Speed 128.42 samples/sec   Loss 25.3348   LearningRate 0.014060   Epoch: 5   Global Step: 60330   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:22:13,525-Speed 124.21 samples/sec   Loss 24.9042   LearningRate 0.014059   Epoch: 5   Global Step: 60340   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:22:23,736-Speed 125.37 samples/sec   Loss 25.2363   LearningRate 0.014058   Epoch: 5   Global Step: 60350   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:22:33,913-Speed 125.79 samples/sec   Loss 25.0328   LearningRate 0.014057   Epoch: 5   Global Step: 60360   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:22:43,932-Speed 127.77 samples/sec   Loss 24.7450   LearningRate 0.014056   Epoch: 5   Global Step: 60370   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:22:54,179-Speed 124.93 samples/sec   Loss 25.2764   LearningRate 0.014055   Epoch: 5   Global Step: 60380   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:23:04,041-Speed 129.80 samples/sec   Loss 25.3350   LearningRate 0.014054   Epoch: 5   Global Step: 60390   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:23:14,410-Speed 123.45 samples/sec   Loss 25.2238   LearningRate 0.014053   Epoch: 5   Global Step: 60400   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:23:24,270-Speed 129.83 samples/sec   Loss 25.5257   LearningRate 0.014052   Epoch: 5   Global Step: 60410   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:23:34,174-Speed 129.26 samples/sec   Loss 25.2710   LearningRate 0.014051   Epoch: 5   Global Step: 60420   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:23:44,345-Speed 125.85 samples/sec   Loss 24.9396   LearningRate 0.014050   Epoch: 5   Global Step: 60430   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:23:54,154-Speed 130.50 samples/sec   Loss 25.2008   LearningRate 0.014049   Epoch: 5   Global Step: 60440   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:24:04,002-Speed 129.99 samples/sec   Loss 24.6874   LearningRate 0.014048   Epoch: 5   Global Step: 60450   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:24:13,796-Speed 130.69 samples/sec   Loss 24.9660   LearningRate 0.014047   Epoch: 5   Global Step: 60460   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:24:23,486-Speed 132.10 samples/sec   Loss 25.0766   LearningRate 0.014046   Epoch: 5   Global Step: 60470   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:24:33,326-Speed 130.10 samples/sec   Loss 24.9572   LearningRate 0.014045   Epoch: 5   Global Step: 60480   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:24:43,151-Speed 130.28 samples/sec   Loss 25.1458   LearningRate 0.014044   Epoch: 5   Global Step: 60490   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:24:53,455-Speed 124.23 samples/sec   Loss 24.9441   LearningRate 0.014043   Epoch: 5   Global Step: 60500   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:25:03,684-Speed 125.15 samples/sec   Loss 24.8511   LearningRate 0.014042   Epoch: 5   Global Step: 60510   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:25:14,018-Speed 123.86 samples/sec   Loss 25.3578   LearningRate 0.014041   Epoch: 5   Global Step: 60520   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:25:24,140-Speed 126.48 samples/sec   Loss 24.9447   LearningRate 0.014040   Epoch: 5   Global Step: 60530   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:25:34,503-Speed 123.52 samples/sec   Loss 25.0925   LearningRate 0.014039   Epoch: 5   Global Step: 60540   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:25:44,468-Speed 128.47 samples/sec   Loss 24.9472   LearningRate 0.014038   Epoch: 5   Global Step: 60550   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:25:54,478-Speed 127.88 samples/sec   Loss 24.5446   LearningRate 0.014037   Epoch: 5   Global Step: 60560   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:26:04,209-Speed 131.54 samples/sec   Loss 25.0608   LearningRate 0.014036   Epoch: 5   Global Step: 60570   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:26:13,971-Speed 131.13 samples/sec   Loss 24.6979   LearningRate 0.014035   Epoch: 5   Global Step: 60580   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:26:23,963-Speed 128.11 samples/sec   Loss 25.2744   LearningRate 0.014034   Epoch: 5   Global Step: 60590   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:26:34,015-Speed 127.35 samples/sec   Loss 25.7776   LearningRate 0.014033   Epoch: 5   Global Step: 60600   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:26:44,643-Speed 120.44 samples/sec   Loss 25.1296   LearningRate 0.014032   Epoch: 5   Global Step: 60610   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:26:55,054-Speed 122.96 samples/sec   Loss 25.3403   LearningRate 0.014031   Epoch: 5   Global Step: 60620   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:27:05,034-Speed 128.26 samples/sec   Loss 25.2877   LearningRate 0.014030   Epoch: 5   Global Step: 60630   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:27:14,886-Speed 129.93 samples/sec   Loss 25.3037   LearningRate 0.014029   Epoch: 5   Global Step: 60640   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:27:24,731-Speed 130.03 samples/sec   Loss 25.1446   LearningRate 0.014028   Epoch: 5   Global Step: 60650   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:27:34,935-Speed 125.47 samples/sec   Loss 25.5341   LearningRate 0.014027   Epoch: 5   Global Step: 60660   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:27:45,065-Speed 126.36 samples/sec   Loss 24.6778   LearningRate 0.014026   Epoch: 5   Global Step: 60670   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:27:55,303-Speed 125.03 samples/sec   Loss 24.8197   LearningRate 0.014025   Epoch: 5   Global Step: 60680   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:28:05,360-Speed 127.28 samples/sec   Loss 25.2852   LearningRate 0.014024   Epoch: 5   Global Step: 60690   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:28:15,160-Speed 130.62 samples/sec   Loss 25.4609   LearningRate 0.014023   Epoch: 5   Global Step: 60700   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:28:24,920-Speed 131.16 samples/sec   Loss 24.5193   LearningRate 0.014022   Epoch: 5   Global Step: 60710   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:28:34,475-Speed 133.97 samples/sec   Loss 25.5590   LearningRate 0.014021   Epoch: 5   Global Step: 60720   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:28:44,979-Speed 121.86 samples/sec   Loss 24.7170   LearningRate 0.014020   Epoch: 5   Global Step: 60730   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:28:55,276-Speed 124.32 samples/sec   Loss 25.2788   LearningRate 0.014019   Epoch: 5   Global Step: 60740   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:29:05,657-Speed 123.31 samples/sec   Loss 25.3498   LearningRate 0.014018   Epoch: 5   Global Step: 60750   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:29:15,684-Speed 127.66 samples/sec   Loss 25.0164   LearningRate 0.014017   Epoch: 5   Global Step: 60760   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:29:25,873-Speed 125.64 samples/sec   Loss 25.2442   LearningRate 0.014016   Epoch: 5   Global Step: 60770   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:29:35,999-Speed 126.42 samples/sec   Loss 25.1641   LearningRate 0.014015   Epoch: 5   Global Step: 60780   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:29:46,078-Speed 127.01 samples/sec   Loss 24.7048   LearningRate 0.014014   Epoch: 5   Global Step: 60790   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:29:56,454-Speed 123.36 samples/sec   Loss 25.3108   LearningRate 0.014013   Epoch: 5   Global Step: 60800   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:30:06,888-Speed 122.69 samples/sec   Loss 25.3961   LearningRate 0.014012   Epoch: 5   Global Step: 60810   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:30:17,238-Speed 123.68 samples/sec   Loss 24.7412   LearningRate 0.014011   Epoch: 5   Global Step: 60820   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:30:26,962-Speed 131.65 samples/sec   Loss 24.6689   LearningRate 0.014010   Epoch: 5   Global Step: 60830   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:30:37,207-Speed 124.94 samples/sec   Loss 24.7522   LearningRate 0.014009   Epoch: 5   Global Step: 60840   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:30:47,334-Speed 126.40 samples/sec   Loss 24.6984   LearningRate 0.014008   Epoch: 5   Global Step: 60850   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:30:57,342-Speed 127.92 samples/sec   Loss 25.2045   LearningRate 0.014007   Epoch: 5   Global Step: 60860   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:31:07,547-Speed 125.44 samples/sec   Loss 24.8738   LearningRate 0.014006   Epoch: 5   Global Step: 60870   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:31:18,183-Speed 120.36 samples/sec   Loss 24.7801   LearningRate 0.014006   Epoch: 5   Global Step: 60880   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:31:28,413-Speed 125.13 samples/sec   Loss 24.9933   LearningRate 0.014005   Epoch: 5   Global Step: 60890   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:31:38,802-Speed 123.21 samples/sec   Loss 24.9197   LearningRate 0.014004   Epoch: 5   Global Step: 60900   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:31:48,836-Speed 127.57 samples/sec   Loss 25.2026   LearningRate 0.014003   Epoch: 5   Global Step: 60910   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:31:59,189-Speed 123.64 samples/sec   Loss 25.2658   LearningRate 0.014002   Epoch: 5   Global Step: 60920   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:32:09,233-Speed 127.45 samples/sec   Loss 24.8374   LearningRate 0.014001   Epoch: 5   Global Step: 60930   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:32:21,452-Speed 104.76 samples/sec   Loss 24.3215   LearningRate 0.014000   Epoch: 6   Global Step: 60940   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:32:30,665-Speed 138.96 samples/sec   Loss 22.9272   LearningRate 0.013999   Epoch: 6   Global Step: 60950   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:32:39,984-Speed 137.37 samples/sec   Loss 22.9640   LearningRate 0.013998   Epoch: 6   Global Step: 60960   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:32:49,076-Speed 140.78 samples/sec   Loss 23.3947   LearningRate 0.013997   Epoch: 6   Global Step: 60970   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:32:58,319-Speed 138.49 samples/sec   Loss 22.8790   LearningRate 0.013996   Epoch: 6   Global Step: 60980   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:33:07,421-Speed 140.64 samples/sec   Loss 23.0879   LearningRate 0.013995   Epoch: 6   Global Step: 60990   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:33:16,987-Speed 133.82 samples/sec   Loss 22.9308   LearningRate 0.013994   Epoch: 6   Global Step: 61000   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:33:26,910-Speed 129.01 samples/sec   Loss 22.5446   LearningRate 0.013993   Epoch: 6   Global Step: 61010   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:33:36,747-Speed 130.12 samples/sec   Loss 23.4691   LearningRate 0.013992   Epoch: 6   Global Step: 61020   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:33:46,434-Speed 132.15 samples/sec   Loss 22.7068   LearningRate 0.013991   Epoch: 6   Global Step: 61030   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:33:55,576-Speed 140.03 samples/sec   Loss 22.8341   LearningRate 0.013990   Epoch: 6   Global Step: 61040   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:34:05,201-Speed 133.00 samples/sec   Loss 22.7704   LearningRate 0.013989   Epoch: 6   Global Step: 61050   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:34:14,876-Speed 132.31 samples/sec   Loss 23.1158   LearningRate 0.013988   Epoch: 6   Global Step: 61060   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:34:24,707-Speed 130.22 samples/sec   Loss 23.3316   LearningRate 0.013987   Epoch: 6   Global Step: 61070   Fp16 Grad Scale: 65536   Required: 42 hours
Training: 2024-03-21 13:34:34,473-Speed 131.08 samples/sec   Loss 23.4618   LearningRate 0.013986   Epoch: 6   Global Step: 61080   Fp16 Grad Scale: 32768   Required: 42 hours
Training: 2024-03-21 13:34:43,960-Speed 134.93 samples/sec   Loss 23.7341   LearningRate 0.013985   Epoch: 6   Global Step: 61090   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:34:53,239-Speed 137.96 samples/sec   Loss 23.3737   LearningRate 0.013984   Epoch: 6   Global Step: 61100   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:35:03,010-Speed 131.02 samples/sec   Loss 22.9955   LearningRate 0.013983   Epoch: 6   Global Step: 61110   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:35:12,408-Speed 136.20 samples/sec   Loss 23.2706   LearningRate 0.013982   Epoch: 6   Global Step: 61120   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:35:21,767-Speed 136.79 samples/sec   Loss 23.6946   LearningRate 0.013981   Epoch: 6   Global Step: 61130   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:35:31,303-Speed 134.24 samples/sec   Loss 23.3129   LearningRate 0.013980   Epoch: 6   Global Step: 61140   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:35:40,690-Speed 136.36 samples/sec   Loss 23.2065   LearningRate 0.013979   Epoch: 6   Global Step: 61150   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:35:50,305-Speed 133.15 samples/sec   Loss 23.3823   LearningRate 0.013978   Epoch: 6   Global Step: 61160   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:35:59,866-Speed 133.88 samples/sec   Loss 22.8432   LearningRate 0.013977   Epoch: 6   Global Step: 61170   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:36:09,046-Speed 139.44 samples/sec   Loss 23.0410   LearningRate 0.013976   Epoch: 6   Global Step: 61180   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:36:18,713-Speed 132.42 samples/sec   Loss 23.2690   LearningRate 0.013975   Epoch: 6   Global Step: 61190   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:36:28,164-Speed 135.45 samples/sec   Loss 23.1722   LearningRate 0.013974   Epoch: 6   Global Step: 61200   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:36:37,508-Speed 136.99 samples/sec   Loss 23.4364   LearningRate 0.013973   Epoch: 6   Global Step: 61210   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:36:46,793-Speed 137.86 samples/sec   Loss 23.1268   LearningRate 0.013972   Epoch: 6   Global Step: 61220   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:36:56,640-Speed 129.99 samples/sec   Loss 23.3248   LearningRate 0.013971   Epoch: 6   Global Step: 61230   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:37:05,875-Speed 138.62 samples/sec   Loss 23.0360   LearningRate 0.013970   Epoch: 6   Global Step: 61240   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:37:15,003-Speed 140.25 samples/sec   Loss 23.3266   LearningRate 0.013969   Epoch: 6   Global Step: 61250   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:37:23,806-Speed 145.41 samples/sec   Loss 23.3964   LearningRate 0.013968   Epoch: 6   Global Step: 61260   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:37:33,306-Speed 134.74 samples/sec   Loss 23.2809   LearningRate 0.013967   Epoch: 6   Global Step: 61270   Fp16 Grad Scale: 32768   Required: 41 hours
Training: 2024-03-21 13:37:42,593-Speed 137.85 samples/sec   Loss 22.9686   LearningRate 0.013966   Epoch: 6   Global Step: 61280   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2024-03-21 13:37:51,996-Speed 136.15 samples/sec   Loss 23.3500   LearningRate 0.013965   Epoch: 6   Global Step: 61290   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2024-03-21 13:38:01,663-Speed 132.41 samples/sec   Loss 23.0580   LearningRate 0.013964   Epoch: 6   Global Step: 61300   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2024-03-21 13:38:11,240-Speed 133.67 samples/sec   Loss 23.1685   LearningRate 0.013963   Epoch: 6   Global Step: 61310   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2024-03-21 13:38:20,895-Speed 132.57 samples/sec   Loss 23.1783   LearningRate 0.013962   Epoch: 6   Global Step: 61320   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2024-03-21 13:38:30,335-Speed 135.61 samples/sec   Loss 23.4881   LearningRate 0.013961   Epoch: 6   Global Step: 61330   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2024-03-21 13:38:39,540-Speed 139.14 samples/sec   Loss 22.9592   LearningRate 0.013960   Epoch: 6   Global Step: 61340   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2024-03-21 13:38:49,129-Speed 133.51 samples/sec   Loss 23.9554   LearningRate 0.013959   Epoch: 6   Global Step: 61350   Fp16 Grad Scale: 65536   Required: 41 hours
